x,t,u
12.5,5.67,1.85151389238
14.0625,5.67,0.645008932578
15.625,5.67,-1.1181570718
17.1875,5.67,-0.426519534708
18.75,5.67,0.224409522753
20.3125,5.67,0.494514918203
21.875,5.67,0.698007295173
23.4375,5.67,1.78444169858
25,5.67,1.09756564425
26.5625,5.67,-1.03990746897
28.125,5.67,-1.17030807427
29.6875,5.67,0.0699042428472
31.25,5.67,1.05663956483
32.8125,5.67,2.36705815914
34.375,5.67,0.114407971793
35.9375,5.67,-1.98464258336
37.5,5.67,-0.345189943053
39.0625,5.67,0.5196556846
40.625,5.67,2.04038179701
42.1875,5.67,0.92722484847
43.75,5.67,-1.49982858601
45.3125,5.67,-1.12419331737
46.875,5.67,-0.0983154986962
48.4375,5.67,0.0816062453323
0,5.68,0.444293426431
1.5625,5.68,1.72968710356
3.125,5.68,1.60533460847
4.6875,5.68,-0.723442880727
6.25,5.68,-1.17903211634
7.8125,5.68,-0.22397972675
9.375,5.68,0.235354740549
10.9375,5.68,0.860096322969
12.5,5.68,1.85145332499
14.0625,5.68,0.650388028558
15.625,5.68,-1.11673001563
17.1875,5.68,-0.429091212999
18.75,5.68,0.223504900735
20.3125,5.68,0.493699181838
21.875,5.68,0.696167813895
23.4375,5.68,1.78419042462
25,5.68,1.10053297745
26.5625,5.68,-1.04030886284
28.125,5.68,-1.17366521565
29.6875,5.68,0.0682948506361
31.25,5.68,1.05368743229
32.8125,5.68,2.36751279221
34.375,5.68,0.118006396586
35.9375,5.68,-1.98478522169
37.5,5.68,-0.347002859472
39.0625,5.68,0.51838775739
40.625,5.68,2.04116214699
42.1875,5.68,0.929830699505
43.75,5.68,-1.4990248867
45.3125,5.68,-1.12481025351
46.875,5.68,-0.0973873605333
48.4375,5.68,0.0806127357667
0,5.69,0.442136776209
1.5625,5.69,1.72612844428
3.125,5.69,1.61083343471
4.6875,5.69,-0.718082598156
6.25,5.69,-1.18265677979
7.8125,5.69,-0.224850885797
9.375,5.69,0.234390021784
10.9375,5.69,0.857741044683
12.5,5.69,1.85137314012
14.0625,5.69,0.65576564978
15.625,5.69,-1.11528047453
17.1875,5.69,-0.431669879596
18.75,5.69,0.222596957565
20.3125,5.69,0.492880752125
21.875,5.69,0.694333428598
23.4375,5.69,1.78393367913
25,5.69,1.10349463885
26.5625,5.69,-1.04070793209
28.125,5.69,-1.17701632174
29.6875,5.69,0.0666874994285
31.25,5.69,1.05074479208
32.8125,5.69,2.3679561051
34.375,5.69,0.12160135066
35.9375,5.69,-1.98491367237
37.5,5.69,-0.348825597323
39.0625,5.69,0.517114592678
40.625,5.69,2.04193376198
42.1875,5.69,0.932446753454
43.75,5.69,-1.49820983632
45.3125,5.69,-1.12543256558
46.875,5.69,-0.0964596699226
48.4375,5.69,0.079624671096
0,5.7,0.439987184087
1.5625,5.7,1.7225459717
3.125,5.7,1.61631532144
4.6875,5.7,-0.712702860373
6.25,5.7,-1.18627763675
7.8125,5.7,-0.225724627015
9.375,5.7,0.233425096449
10.9375,5.7,0.855394043198
12.5,5.7,1.85127336323
14.0625,5.7,0.661141732644
15.625,5.7,-1.11380843849
17.1875,5.7,-0.434255506168
18.75,5.7,0.221685680181
20.3125,5.7,0.492059618517
21.875,5.7,0.692504121341
23.4375,5.7,1.78367146491
25,5.7,1.10645063467
